Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1
0,-0.1654055800960332,0,3.0,5,0,2,0,39.0,5.0,1.0,3.0,0.9052100286806438,-0.47342221766272585,-0.973895181755695,3.834002603581665
0,0.33357038345253087,1,5.0,0,1,0,0,44.0,6.0,1.0,2.0,0.44469489064373907,-0.3666668215917064,-1.357340378311742,12.608572911589208
0,0.5830583652268129,0,3.0,0,0,3,0,36.0,4.0,1.0,0.0,-0.4997859657383083,-1.4268583411935547,-1.9112056622260318,6.807863674940852
0,-0.7891255345317383,1,4.0,5,0,0,0,34.0,3.0,4.0,1.0,-0.5331986756658522,1.6616857037576631,-1.9112056622260318,6.807863674940852
0,-0.7891255345317383,0,3.0,2,0,2,0,21.0,5.0,1.0,0.0,-0.15505091350101075,-1.4268583411935547,-1.5703654875095456,7.5093252553320715
0,-0.29014957098317423,0,2.0,0,0,1,0,36.0,3.0,1.0,2.0,-0.3287252579188223,0.10330233582439073,-1.7407855748677887,0.5619153513375884
0,0.5830583652268129,0,4.0,0,0,4,2,46.0,6.0,1.0,3.0,1.976912561144874,1.3512361036890663,-1.4425504219908634,0.04106962697524502
0,-1.7870774616288665,0,0.0,5,0,2,1,27.0,2.0,2.0,2.0,1.7933831638954587,0.28613629001498725,-1.2295253127930597,0.007466677016384131
0,-1.1633575071931614,0,3.0,2,1,2,0,36.0,5.0,2.0,0.0,1.5114904512675744,1.6616857037576631,-1.7407855748677887,1.9732392496097444
0,0.20882639256538985,0,2.0,0,1,3,0,36.0,6.0,3.0,3.0,0.8140893812767855,0.6309439485891996,-1.3999454001513025,0.7131286261524624
0,-0.5396375527574563,0,5.0,2,0,4,0,31.0,5.0,3.0,2.0,0.2286715868369202,0.3732585097970836,-0.973895181755695,-0.13534586030877419
0,2.3294742376467874,0,1.0,0,0,1,0,54.0,6.0,2.0,3.0,0.5483574551445258,0.520507331964007,-1.655575531188667,2.7377063611738297
0,1.206778319662518,0,1.0,3,1,3,0,36.0,3.0,6.0,0.0,0.8227837675951939,-1.4268583411935547,-2.039020727744714,10.659601813975277
0,-1.4128454889674433,0,3.0,0,0,2,0,30.0,5.0,1.0,3.0,0.48179658056687397,0.6174461398905648,-1.357340378311742,5.409140882903268
0,1.331522310549659,1,2.0,0,0,0,0,48.0,5.0,2.0,2.0,-0.8624692513610426,-0.5924483489143222,-1.5277604656699848,-0.4251713037039494
0,-0.29014957098317423,0,4.0,0,0,3,0,37.0,5.0,1.0,2.0,-0.2705139506636673,-0.23414288164147534,-1.6129705093491065,4.149030259445985
0,0.20882639256538985,0,4.0,1,1,3,0,36.0,6.0,2.0,3.0,1.8397334765711824,1.4714893084587204,-1.6129705093491065,0.9105459571607701
0,-0.6643815436445972,0,3.0,0,0,3,0,34.0,4.0,4.0,1.0,0.9741741250244615,0.15729357061892932,-1.868600640386471,3.834002603581665
0,1.8304982740982232,0,1.0,5,0,1,0,56.0,2.0,2.0,3.0,-0.5727061014751172,1.6616857037576631,-1.4851554438304242,1.809424868560298
0,-0.1654055800960332,1,2.0,0,0,0,0,37.0,6.0,1.0,2.0,1.0457229073527703,-0.0071342808008018005,-1.868600640386471,0.8265385822636179
0,0.08408240167824883,0,1.0,4,2,2,0,42.0,5.0,2.0,0.0,1.4435868226073647,0.781873991310296,-1.6129705093491065,0.9105459571607701
1,1.9552422649853642,1,0.0,0,0,0,0,49.0,2.0,3.0,3.0,-1.426568661881111,-1.4268583411935547,-2.081625749584275,-0.4713753598973831
0,-0.6643815436445972,0,3.0,5,0,1,0,33.0,4.0,2.0,1.0,-0.2124247290586901,-0.5924483489143222,-1.9964157059051533,3.607182691359354
0,0.08408240167824883,1,4.0,0,1,0,0,36.0,3.0,3.0,2.0,-0.8381328929454956,0.4873763469764492,-1.7833905967073496,-1.5088664398772123
0,0.9572903378882359,0,2.0,0,0,3,0,42.0,4.0,2.0,3.0,0.8644388896274342,-1.4268583411935547,-1.868600640386471,0.15867995183125813
0,-0.6643815436445972,1,3.0,0,1,0,0,28.0,6.0,1.0,2.0,0.37943824083911787,0.6211273604447379,-1.8259956185469102,0.5073105576544394
0,1.581010292323941,0,1.0,5,0,1,0,46.0,4.0,1.0,2.0,1.0687175774435889,0.25914067261771795,-1.7833905967073496,2.4688827615029427
0,2.0799862558725053,0,1.0,0,0,2,0,56.0,3.0,3.0,2.0,0.6727442255516101,-0.18751408795528293,-1.0591052254348166,1.2087721380456602
0,-0.29014957098317423,1,3.0,2,1,0,0,34.0,5.0,2.0,2.0,0.6606176352992438,-1.4268583411935547,-1.9964157059051533,3.607182691359354
0,0.08408240167824883,0,4.0,5,0,1,0,42.0,6.0,0.0,0.0,-0.13949513326190296,0.24441579040102565,-1.144315269113938,0.7887352635598994
0,0.832546347001095,0,3.0,0,0,3,0,33.0,3.0,2.0,3.0,-0.7314772519276478,0.7953718000089306,-1.698180553028228,7.807551436216962
0,0.832546347001095,0,2.0,2,0,2,0,48.0,2.0,5.0,1.0,-0.8558961793536777,0.6468959043239495,-1.655575531188667,3.728993384960225
0,-0.6643815436445972,0,4.0,0,0,2,0,36.0,4.0,1.0,2.0,0.5279079569611433,1.6616857037576631,-1.7407855748677887,4.010418090865684
0,0.832546347001095,1,2.0,3,0,0,0,38.0,5.0,2.0,3.0,-0.7723082420255073,0.40148120071241056,-1.5703654875095456,1.2087721380456602
0,1.4562663014368,0,0.0,0,0,3,0,49.0,6.0,2.0,2.0,0.8936698659566753,0.6542583454322957,-1.7407855748677887,0.007466677016384131
0,1.082034328775377,1,1.0,3,1,0,0,36.0,4.0,2.0,1.0,-0.4682963195600724,0.9217603723688732,-0.9312901599161342,-0.9628185030457231
0,1.082034328775377,1,3.0,0,0,0,0,36.0,6.0,2.0,3.0,-0.6270508999652756,1.392956603303028,-1.1869202909534988,1.9480370371405988
0,-0.5396375527574563,1,4.0,5,0,0,2,36.0,2.0,3.0,3.0,1.1147355201022413,-1.4268583411935547,-1.8259956185469102,2.0488458870171815
0,1.331522310549659,1,1.0,0,0,1,0,49.0,3.0,3.0,2.0,-0.4230239111566927,-0.3396712041944371,-1.5703654875095456,-0.6561915846711176
1,2.4542182285339282,1,0.0,4,0,0,0,56.0,5.0,4.0,3.0,0.39504233266067634,-0.6844788627686493,-2.081625749584275,-2.39094387629731
0,-0.1654055800960332,0,3.0,0,1,3,0,41.0,2.0,2.0,2.0,1.910005555424436,-0.7176098477562071,-1.5703654875095456,-1.0006218217494416
0,0.5830583652268129,0,2.0,0,0,1,0,44.0,4.0,1.0,0.0,0.13882269276590506,1.2776116926056047,-1.5703654875095456,-0.6561915846711176
0,0.45831437433967187,1,1.0,3,1,1,1,43.0,3.0,2.0,3.0,1.2373036771577048,1.6616857037576631,-1.357340378311742,2.0488458870171815
0,0.33357038345253087,0,3.0,5,0,2,0,37.0,5.0,2.0,1.0,-0.35686619944814507,-1.4268583411935547,-1.3999454001513025,1.2087721380456602
